@relation 'scikit-learn-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,2,2,1,2,0,1,0.195804,52230,532.701513,33,1,0,1
false,false,1,2,1,1,2,0,6,0.194444,52230,532.701513,33,0,0,1
false,false,1,0,1,1,2,0,5,0.195122,52230,532.701513,33,0,0,1
false,false,1,1,1,1,0,0,7,0.189831,52230,532.701513,33,15,0.866667,1
false,false,2,18,4,2,4,0,12,0.183607,51765,533.932194,34,30,0.9,1
false,false,1,3,2,1,2,0,7,0.183607,51765,533.932194,34,0,0,0
false,false,1,3,3,1,0,0,5,0.183007,51765,533.932194,34,0,0,0
false,false,1,5,3,1,0,0,5,0.183007,51765,533.932194,34,0,0,1
false,false,2,1,1,2,11,0,12,0.178125,51765,533.932194,36,153,0.856209,1
false,false,1,2,2,2,1,0,3,0.174312,51765,533.932194,37,16,0.4375,1
false,false,2,2,2,1,12,0,6,0.172205,51765,533.932194,37,9,0.222222,1
false,false,1,0,1,1,4,0,8,0.168675,51765,533.932194,38,0,0,1
false,false,1,1,1,1,30,0,1,0.172727,51761,533.722301,39,1,1,1
false,false,1,2,2,1,2,0,2,0.172727,51761,533.722301,39,0,0,1
false,false,1,1,3,1,4,0,5,0.175227,51761,533.722301,40,28,0.535714,1
false,false,1,2,2,8,6,0,1,0.179104,51761,533.722301,40,27,0.518519,1
false,false,2,4,4,1,18,0,1,0.180723,51590,532.99089,39,87,0.873563,1
false,false,1,1,2,1,0,0,41,0.173252,51590,532.99089,39,0,0,1
false,false,2,8,3,2,40,28,4,0.168196,51590,532.99089,39,13,0.538462,0
false,false,1,1,1,2,17,6,4,0.166667,51590,532.99089,39,24,0.583333,0
false,false,1,0,0,1,0,0,5,0.166667,51590,532.99089,39,12,0.5,1
false,false,2,5,3,32,80,24,66,0.165109,51590,532.99089,38,22,0.590909,1
false,false,1,1,2,1,3,0,3,0.170279,51590,532.99089,38,21,0.619048,0
