@relation 'vagrant-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,2,1,1,11,50,0,2,0,33884,578.148979,10,4,1,1
false,false,1,0,0,1,2,0,2,0.006135,33884,578.148979,9,0,0,1
false,false,1,1,0,1,2,0,1,0.006098,33884,578.148979,9,0,0,1
false,false,1,0,1,1,11,0,2,0.005988,33884,578.148979,9,3,1,1
false,false,2,2,2,1,4,0,1,0.005988,33884,578.148979,9,0,0,1
false,false,1,0,0,1,6,0,1,0.006024,33884,578.148979,9,15,0.8,1
false,false,1,2,2,1,7,0,0,0.005556,33874,578.319655,9,0,0,1
false,false,1,0,1,1,2,0,2,0.005556,33874,578.319655,9,0,0,0
false,false,1,0,0,1,5,0,2,0.005556,33875,578.302583,9,3,0.666667,1
false,false,1,1,1,1,2,0,0,0.005556,33875,578.302583,10,2,0.5,1
false,false,1,0,0,1,2,0,2,0.005495,33875,578.302583,10,0,0,1
false,false,1,0,0,4,16,0,1,0.005464,33875,578.302583,10,0,0,1
false,false,1,0,0,1,4,0,66,0.023256,33875,578.302583,10,0,0,1
false,false,2,2,2,1,10,0,0,0.297297,33873,578.336728,10,0,0,1
false,false,1,0,1,1,17,0,8,0.297297,33873,578.336728,10,0,0,0
false,false,2,0,0,1,6,0,5,0.298643,33873,578.336728,10,1,1,1
false,false,1,2,2,3,45,0,0,0.298643,33873,578.336728,10,0,0,0
false,false,1,0,0,1,2,0,3,0.298643,33873,578.336728,10,0,0,1
false,false,1,0,0,1,4,0,2,0.300905,33873,578.336728,10,0,0,1
false,false,3,3,2,1,26,0,8,0.302483,33873,578.336728,10,0,0,0
false,false,2,0,0,3,50,4,7,0.308559,33874,578.319655,10,101,0.910891,1
false,false,2,0,0,1,12,0,2,0.312217,33874,578.319655,10,0,0,1
false,false,1,0,0,1,2,0,2,0.313063,33874,578.319655,10,0,0,1
false,false,1,0,0,1,2,0,3,0.313901,33874,578.319655,10,0,0,1
false,false,1,0,1,1,2,0,7,0.313901,33874,578.319655,10,0,0,0
false,false,5,2,1,3,57,0,0,0.313199,33836,578.969145,10,0,0,1
false,false,1,0,1,1,2,0,126,0.316027,33836,578.969145,9,1,1,1
false,false,1,0,0,12,24,4,3,0.339806,33797,577.802764,9,100,0.91,1
false,false,1,0,0,2,0,16,3,0.342298,33797,578.069059,9,99,0.909091,1
false,false,1,0,1,1,0,0,41,0.344743,33797,578.069059,9,0,0,1
false,false,1,0,0,1,2,0,3,0.348039,33797,578.069059,9,0,0,1
false,false,1,0,0,1,2,0,3,0.348039,33797,578.069059,9,0,0,1
false,false,1,0,1,1,2,0,2,0.349754,33798,578.051956,9,0,0,1
false,false,2,0,0,16,40,0,163,0.352941,33771,578.51411,9,98,0.908163,1
false,false,1,1,1,1,1,0,6,0.353808,33771,578.51411,9,14,0.785714,1
false,false,5,5,2,7,158,73,12,0.353808,33771,578.51411,9,13,0.769231,1
false,false,1,2,1,1,3,0,3,0.35468,33771,578.51411,9,1,1,0
false,false,1,1,2,1,4,0,7,0.356265,33771,578.51411,9,0,0,1
false,false,1,0,0,1,6,0,7,0.356265,33771,578.51411,9,0,0,1
false,false,1,0,0,1,1,0,3,0.356265,33771,578.51411,9,0,0,1
false,false,1,0,0,1,7,0,2,0.356265,33771,578.51411,9,0,0,1
false,false,2,0,1,2,7,13,5,0.357143,33771,578.51411,9,0,0,1
false,false,1,0,2,264,3566,0,101,0.358911,33941,575.616511,9,97,0.907216,1
false,false,3,4,3,3,68,0,0,0.362283,33941,575.616511,9,2,1,1
false,false,2,1,1,1,4,0,4,0.363184,33941,575.616511,9,0,0,1
false,false,1,2,1,1,2,0,14,0.365915,33938,575.667393,9,0,0,1
false,false,1,4,2,1,2,0,0,0.365915,33938,575.667393,9,0,0,1
false,false,1,2,3,5,76,0,5,0.369727,33938,575.667393,10,0,0,0
false,false,1,9,10,1,2,0,4,0.369727,33938,575.667393,10,2,0.5,1
false,false,1,1,1,1,0,0,3,0.368812,33938,575.667393,11,0,0,1
false,false,1,0,0,2,26,0,0,0.369727,33938,575.667393,11,0,0,1
false,false,1,2,1,1,1,0,2,0.369727,33938,575.667393,11,0,0,1
false,true,1,3,2,2,6,6,25,0.340961,33938,575.667393,12,1,1,0
false,false,1,0,1,1,2,0,5,0.340961,33938,575.667393,12,32,875,1
false,false,1,1,1,2,32,0,3,0.337104,33938,575.667393,11,2,1,1
false,false,1,0,0,1,2,0,3,0.337104,33938,575.667393,11,1,1,1
false,true,8,8,3,6,64,0,120,0.337104,33938,575.667393,11,26,0.961538,1
false,false,2,0,1,2,2,13,3,0.337868,33938,575.667393,11,0,0,0
false,false,1,0,0,1,17,0,0,0.337868,33938,575.667393,11,1,0,1
false,false,1,0,0,1,7,0,5,0.337868,33938,575.667393,11,0,0,0
false,false,1,0,1,1,0,0,0,0.333333,33938,575.667393,11,0,0,1
false,false,1,0,0,1,2,0,9,0.331849,33938,575.667393,11,0,0,1
false,false,1,10,3,1,5,0,0,0.332589,33938,575.667393,11,2,0,1
false,false,1,0,2,1,2,0,2,0.332589,33938,575.667393,11,0,0,1
false,false,1,0,0,1,6,0,0,0.333333,33938,575.667393,11,1,1,1
false,false,1,1,1,1,4,0,2,0.332589,33938,575.667393,11,12,0.75,1
false,false,2,6,2,1,12,0,3,0.333333,33937,575.684356,11,0,0,1
false,false,2,0,0,1,38,0,4,0.337104,33930,575.803124,12,46,0.891304,1
false,false,1,0,1,1,2,0,3,0.344907,33930,575.803124,12,0,0,1
false,false,1,1,1,1,2,0,8,0.344907,33930,575.803124,12,0,0,1
false,false,1,6,4,4,62,4,12,0.344907,33930,575.803124,12,0,0,0
false,false,1,2,1,1,2,0,3,0.34642,33930,575.803124,12,0,0,1
false,false,1,1,1,1,4,0,6,0.34642,33930,575.803124,12,0,0,0
false,false,1,2,1,1,6,0,7,0.349537,33928,575.837067,12,96,0.90625,1
false,false,1,1,1,1,2,0,5,0.351981,33928,575.837067,13,95,0.905263,1
false,false,1,2,2,1,8,0,4,0.351163,33928,575.837067,13,3,1,1
false,false,1,1,1,1,2,0,2,0.352804,33928,575.837067,12,0,0,1
false,false,15,5,3,65,512,0,8,0.356974,33923,575.921941,12,0,0,1
false,false,1,2,1,1,7,0,1,0.35446,33923,575.921941,13,0,0,1
false,false,1,2,1,2,10,0,0,0.355294,33922,575.938919,13,0,0,1
false,false,3,2,1,2,74,134,4,0.362319,33844,569.73171,14,94,0.904255,1
false,false,1,0,0,2,2,22,9,0.36855,33827,569.5746,14,93,0.903226,1
