@relation 'bundler-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20'

@attribute created_at_week_day {sabado,quinta-Feira,quarta-feira,terca-feira,segunda-feira,domingo,sexta-feira}
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute conflict {false}
@attribute forward_links {false,true}
@attribute intra_branch {true,false}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute at_mentions_description numeric
@attribute at_mentions_comments numeric
@attribute prev_pull_reqs_project numeric
@attribute project_succ_rate numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute stars numeric
@attribute team_size numeric
@attribute project_age numeric
@attribute workload numeric
@attribute ci {travis,unknown}
@attribute requester {indirect,segiddins,RochesterinNYC,schneems,allenzhao,sonalkr132,BronzDoc,asutoshpalai,mobilutz,njam,mib32,jbodah,Elffers,glennpratt,christhekeele,cirdes,lamont-granquist,dtognazzini,Zorbash,vassilevsky,MOZGIII,arthurnn,hughbien,Agis-,morsheed,pcarranza,dthjones,drn,smellsblue,deepj,jperville,doy,benlovell,fotanus,JuanitoFatas,TimMoore,stantona,CoralineAda,blackxored,deivid-rodriguez,dwb,felixbuenemann,sikachu,denmat,Nikolay-Pomytkin,andremedeiros,csfrancis,toolmantim,voxik,goughy000,jtarchie,A5308Y,samphippen,dilumn,Sirupsen,esasse,jasonkarns,jaym,lukaso,robinboening,philnash,heliocola,asymmetric,jrafanie,esse,masarakki,Eric-Guo,smlance,seanlinsley,pmenglund,chulkilee,grosser,Koronen,jordanthomas,mastfish,sferik,tf,steved,frsyuki,EduardoBautista,byroot,roseweixel,cdwort,hbd225,mattbrictson,amatsuda,ethanez713,PG-kura,AlexanderPavlenko,mcantor,joshk,pducks32,danieltdt,timblair,Bartuz,tjschuck,cstrahan,steverob,habibalamin,karlo57,tony-spataro-rs,strand,neoeno,postmodern,waynn,skateman,ivantsepp,e2,hartator,repinel,akihiro17,nickborromeo,spastorino,Strech,ineiti,stevenjack,pjump,fny,aprescott,hone,tenderlove,korobkov,hiukkanen,panthomakos,sealocal,jdmundrawala,digitalextremist,mlarraz,matiasow,seamusabshere,jhass,simi,chastell,bobishh,kodnin,marocchino,marutosi,niku4i,janlelis,Sxl1092,sanemat,kohgpat,kirs,banyan,maclover7,keiths-osc,neerfri,moeffju,steakknife,darnould,tamird,bjfish,ccutrer,eagletmt,joneslee85,k0kubun,dsisnero,claudiob,bkeepers,selcham,BenMorganIO,tdtds,jnraine,pangloss,eapache,aroben,y-yagi,onetwopunch,myronmarston,gfvcastro,rohit,myabc,petedmarsh,dholdren,toy,thomasfedb,kuraga,doodzik,staugaard,Who828,GeekOnCoffee,gsamokovarov,obfusk,zzak,Deradon,agenteo,arronmabrey,patvice,Sketch,gretel,twcctz50,elia,dubek,rrrene,dangoita,danfinnie,DevRubySlippers,Intrepidd,fvaleur,seuros,meganemura,yous,ryansouza,dx7,aasmith,kares,ruyrocha,HonoreDB,benlakey,bak,eloyesp,citizen428,hwartig,tonytonyjan,ejaypcanaria,splattael,allyraza,reiz,lgierth,pmahoney,jetaggart,tryba,nickpellant,mraidel,zmack,jasonrclark,jemc,rodreegez,Razzell,Nerian,IvanUkhov,notlaforge,jc00ke,Juanxo,prathamesh-sonpatki,aptinio,vinbarnes,tiredpixel,mvz,mattwynne,gjaldon,MSNexploder,deitrick,unak,robolson,aughr,richo,grant-olson,1337807,gnufied,jmmk,peter-mtso,YorickPeterse,mokhan,jm,dylanahsmith,j15e,d-reinhold,mathonsunday,stevecj,vais,as-cii,urbanautomaton,tbuehlmann,aitor,mrphs,headius,kiela,mdkent,suzukaze,stlay,jfvanderwalt,divineforest,lardcanoe,burke,strzalek,davidblondeau,jwworth,narutosanjiv,zebardy,punkle,smashwilson,kgrz,shrey-sharma,andreychernih,suhastech,loveky,codertux,salimane,v-yarotsky,rafaelfranca,deependersingla,olivierlacan,phallstrom,tundal45,DavidEGrayson,dougcole,yaotti,tdumitrescu,skottler,sunny,ognevsky,spohlenz,arunagw,rhysd,mrkn,steveklabnik,qblake,grddev,tyler,cainlevy,jendiamond,misfo,mfojtik,samsm,ghedamat,joyicecloud,cowboyd,brandonblack,henrik,jasonmp85,SamSaffron,steved555,benjamintanweihao,wfarr,joallard,Garoe,snackbandit,mcfiredrill,rykov,larskanis,flyinprogramer,xaviershay,Plaristote,jlsuttles,JordanFaust,faun,lucasmazza,ssrihari,shtirlic,fuadsaud,gudleik,ndbroadbent,nubbel,ixti,rthbound,tricknotes,jfoy,JonRowe,apsoto,kml,mipearson,Gaelan,rahearn,bwillis,Nitrodist,pjvds,regularfry,matthewd,BrentWheeldon,mpapis,epinault,Holek,ardavis,Ptico,hbakhtiyor,dougal,qichunren,chief,nslocum,jayniz,rehevkor5,sakuro,gregory-m,bradleybuda,dmueller,halorgium,nevir,okitan,coop,ogra,danielsdeleo,JamesFerguson,zimbatm,alup,sunaku,jarl-dk,raggi,matthewrudy,parndt,luislavena,gaffneyc,CosmicCat,utkarshkukreti,ddopson,databus23,matschaffer,EmilRehnberg,RyanonRails,Peeja,andreagoulet,dblock,csgui,timoschilling,NARKOZ,gkop,liveh2o,ToadJamb,jisaacks,semanticart,farski,drbrain,crowbot,Empact,kcurtin,wildchild,cheald,wallyqs,sol,brettporter,nbibler,tomykaira,koraktor,pivotalcommon,rking,MafcoCinco,phocke,dkastner,jmoses,benmoss,godfat,BMorearty,davidcelis,brainopia,jdelStrother,mkristian,Flameeyes,mrflip,carlosantoniodasilva,hirochachacha,eightbitraptor,kikito,luismreis,zofrex,trans,bobbus,takkanm,phil-monroe,bowsersenior,jgaskins,gilesbowkett,nwwatson,rkh,stevenh512,coding46,drogus,kucaahbe,mpabst,dougbarth,fpauser,bryanwoods,richardkmichael,bpardee,echohead,kytrinyx,jimmycuadra,jgeiger,ariofrio,jhlllnd,floehopper,dlee,soulcutter,dekellum,etehtsea,svenfuchs,hlidotbe,gerwinbrunner,Fluxx,josevalim,nashby,Vanuan,jpatokal,zeha,knu,d,geemus,lsimoneau,ANithian,mattconnolly,mhoran,vijaydev,osheroff,jreidinger,sodabrew,invisiblefunnel,ilude,dadooda,brixen,eric1234,laserlemon,stve,petervandenabeele,nurse,jeremy,derekprior,jredville,smartinez87,lunks,lastobelus,arsduo,albus522,jjb,sleeper,francois,timfel,jch,roend83,maxjustus,nono,bensie,jacobo,lanej,pirj,sundbp,benhoskings,nextmat,leereilly,stephencelis,slagyr,rwilcox,radsaq,DNNX,Trevoke,tpope,retr0h,tiegz,robertwahler,boffbowsh,neonlex,cldwalker,mtylty,cgriego,kmayer,mheffner,tadman,joelmoss,leejarvis,rkbodenner,benhamill,ybart,pascalh1011,mbirk,rubiii,csquared,mikehoward,mpj,tissak,ngollan,josh,ryanbriones,evanphx,dhh,krekoten,rslifka,cmeiklejohn,gucki,jordansissel,voidlock,bgreenlee,jonah-carbonfive,nledez,botanicus,jackdempsey,epall,wuputah,nolith,hedgehog,nicksieger,opsb,goneflyin,vandrijevik,mjio,jfelchner,baroquebobcat,sumbach,Lytol,sgrove,davesmylie,tigris,aaronblohowiak,bcardarella,now,adelcambre,ecoleman,gyngve,leobessa,dasch,ai,net1957,sdhull,rcarver,mcolyer,kalv,shwoodard,ultrasaurus,tsigo,dismaldenizen,bobbywilson0,antono,jfirebaugh,tarcieri,rjharmon,ddollar,kakutani,jstorimer,irjudson,trampoline,dennisreimann,graaff,aslakhellesoy,MasterLambaster,mephux,bsears,fd,chipiga,spraints}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute requester_age numeric
@attribute main_team_member {true,false}
@attribute watcher_project {true,false}
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_issue_comments numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_pr_comments numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
sabado,manha,false,false,true,6,11,3,0,15,18,14,0,4,62,72,67.121355,3.964393,97,30,0.023013,0,4,1420,0.747183,0.437238,13132,1554.675602,116.280841,174.916235,3215,13,2237,32,travis,indirect,24,0.833333,639,11,2965,true,true,false,false,28,232,18,12,146,5,0,1
sabado,madrugada,false,false,true,12,2,0,0,3,3,3,0,0,3,4,12.879369,0.760701,19,11,0.016736,0,4,1419,0.747005,0.435146,13146,1561.767838,116.53735,175.414575,3215,13,2237,32,travis,indirect,23,0.826087,639,11,2965,true,true,false,false,28,231,17,12,147,5,63,1
sabado,madrugada,false,false,true,25,1,0,0,2,2,2,0,0,2,4,8.088443,0.477758,7,6,0.012605,2,3,1418,0.746827,0.432773,13141,1562.362073,116.581691,175.481318,3215,13,2236,33,travis,segiddins,108,0.907407,343,170,1340,true,true,false,false,39,343,41,131,252,5,123,1
quinta-Feira,manha,false,false,false,71,1,0,0,1,1,1,0,0,0,2,4.32004,0.255171,4,4,0.008457,0,2,1416,0.747175,0.433404,13141,1562.362073,116.581691,175.481318,3212,13,2235,32,travis,RochesterinNYC,45,0.911111,8,7,1466,true,true,false,false,17,148,48,48,14,0,5,1
quinta-Feira,madrugada,false,false,false,9,2,0,0,1,1,1,0,0,2,0,9.581853,0.565969,14,14,0.029787,0,4,1414,0.747525,0.429787,13141,1562.362073,116.581691,175.481318,3212,13,2234,32,travis,schneems,3,1,1028,4,2563,false,true,false,false,1,2,0,0,1,0,15,1
quarta-feira,noite,false,false,true,4,1,0,0,5,5,3,0,2,16,0,23.190062,1.369762,59,22,0.025586,0,2,1413,0.747346,0.430704,13141,1562.362073,116.581691,175.481318,3212,13,2234,31,travis,segiddins,107,0.906542,343,170,1338,true,true,false,false,37,339,40,131,250,5,265,1
quarta-feira,manha,false,false,false,18,3,0,0,3,3,3,0,0,69,0,14.103544,0.833051,7,7,0,0,2,1412,0.747167,0.430407,13141,1559.165969,116.429495,175.329123,3210,13,2234,32,travis,RochesterinNYC,44,0.909091,8,7,1465,true,true,false,false,17,147,47,48,13,0,151,1
terca-feira,manha,false,false,false,24,1,0,0,1,1,1,0,0,2,0,4.362519,0.25768,5,5,0.010684,0,2,1411,0.746988,0.429487,13141,1559.165969,116.429495,175.329123,3209,13,2233,32,travis,allenzhao,0,0,16,15,1380,false,true,false,false,0,3,0,0,0,1,0,1
segunda-feira,tarde,false,false,false,59,4,0,0,24,24,19,0,5,44,78,9.575905,0.565618,6,6,0.012959,1,2,1409,0.747339,0.425486,13141,1559.165969,116.429495,175.329123,3208,13,2232,34,travis,sonalkr132,1,1,8,9,654,false,true,false,false,1,2,1,0,0,0,562,1
domingo,madrugada,false,false,false,7,5,0,0,5,5,5,0,0,23,2,8.364758,0.494078,9,9,0.019355,0,6,1408,0.747159,0.419355,13135,1559.878188,116.48268,175.409212,3206,13,2231,37,travis,BronzDoc,0,0,14,41,1008,false,true,false,false,6,2,0,0,0,0,355,1
domingo,madrugada,false,false,true,15,2,0,0,3,3,3,0,0,59,8,26.665246,1.575025,33,15,0.027957,1,6,1407,0.746979,0.419355,13135,1559.878188,116.48268,175.409212,3206,13,2230,33,travis,segiddins,105,0.914286,343,170,1334,true,true,false,false,37,329,38,125,248,5,0,1
sabado,tarde,false,false,false,17,2,0,0,1,1,1,0,0,14,0,4.58375,0.270747,2,2,0.004329,0,2,1406,0.746799,0.422078,13135,1559.878188,116.48268,175.409212,3204,13,2230,33,travis,asutoshpalai,1,1,25,8,566,false,false,false,false,0,0,1,0,0,0,2318,1
sexta-feira,noite,false,false,false,18,2,0,0,3,3,0,0,3,0,0,27.704032,1.636383,0,0,0,0,3,1405,0.746619,0.420259,13135,1559.878188,116.48268,175.409212,3204,14,2229,32,travis,sonalkr132,0,0,8,9,651,false,true,false,false,0,0,0,0,0,0,20,1
sexta-feira,noite,false,false,false,24,3,0,0,2,2,1,0,1,8,0,9.37394,0.553687,25,25,0.053879,0,3,1403,0.746971,0.420259,13135,1559.878188,116.48268,175.409212,3203,14,2229,33,travis,asutoshpalai,0,0,25,8,565,false,false,false,false,0,0,0,0,0,0,67,1
domingo,tarde,false,false,true,9,4,0,0,3,3,3,0,0,21,76,18.179432,1.073815,32,31,0.065678,0,6,1402,0.74679,0.415254,13134,1557.788945,116.41541,175.041876,3194,15,2224,29,travis,segiddins,104,0.913462,343,170,1328,true,true,false,false,34,330,41,126,248,5,2096,1
domingo,manha,false,false,true,7,1,0,0,2,2,1,0,1,4,0,9.512794,0.561898,27,20,0.042644,1,2,1401,0.74661,0.41791,13134,1557.788945,116.41541,175.041876,3194,15,2224,29,travis,segiddins,103,0.912621,343,170,1328,true,true,false,false,34,330,40,126,245,5,591,1
sabado,manha,false,false,false,31,2,0,0,3,3,2,0,1,9,22,9.787604,0.578135,30,16,0.034409,0,2,1400,0.746429,0.419355,13133,1556.613112,116.424275,175.055204,3192,15,2223,28,travis,RochesterinNYC,43,0.906977,8,7,1454,true,true,false,false,14,124,46,40,12,0,175,1
sexta-feira,manha,false,false,true,7,1,0,0,2,2,1,0,1,4,0,9.508373,0.561595,25,18,0.037344,1,2,1399,0.746247,0.396266,13132,1554.675602,116.280841,174.916235,3190,15,2222,29,travis,segiddins,102,0.911765,343,170,1326,true,true,false,false,32,331,42,127,260,5,31,1
quinta-Feira,manha,false,false,true,11,2,1,0,4,5,0,0,4,0,0,20.430008,1.210879,9,9,0.008439,1,4,1397,0.7466,0.392405,13082,1549.763033,116.343067,174.591041,3188,15,2221,35,travis,segiddins,100,0.92,343,170,1325,true,true,false,false,32,327,40,126,256,5,193,1
quinta-Feira,manha,false,false,false,65,3,0,0,2,2,2,0,0,45,168,22.127637,1.311695,7,7,0.014862,0,2,1396,0.747135,0.392781,13004,1546.447247,115.656721,173.408182,3188,15,2221,34,travis,RochesterinNYC,42,0.928571,8,7,1452,true,true,false,false,13,122,45,40,12,0,6,0
segunda-feira,manha,false,false,false,10,2,0,0,2,2,2,0,0,4,53,18.238405,1.080972,22,19,0.041304,0,3,1395,0.746953,0.393478,13053,1547.920018,116.218494,174.366046,3188,15,2218,36,travis,RochesterinNYC,41,0.926829,8,7,1449,true,true,false,false,13,118,44,39,12,0,48,1
sexta-feira,manha,false,false,false,25,1,0,0,3,3,3,0,0,17,18,13.222363,0.783676,24,19,0.025918,0,2,1392,0.747126,0.390929,13053,1547.920018,116.218494,174.366046,3186,14,2215,36,travis,RochesterinNYC,40,925,8,7,1446,true,true,false,false,12,113,43,37,12,0,5759,1
quinta-Feira,manha,false,false,true,9,1,0,0,9,9,9,0,0,12,0,39.301389,2.329672,2,2,0.004348,0,2,1391,0.746945,0.38913,13046,1547.064234,116.280852,174.306301,3184,14,2214,36,travis,segiddins,99,0.919192,343,170,1318,true,true,false,false,32,318,41,122,247,5,0,1
quinta-Feira,manha,false,false,false,98,2,0,0,2,2,2,0,0,31,146,13.278308,0.787094,10,10,0.021834,0,2,1390,0.746763,0.388646,13046,1547.064234,116.280852,174.306301,3184,14,2214,37,travis,RochesterinNYC,39,0.923077,8,7,1445,true,true,false,false,12,112,42,36,12,0,0,1
quinta-Feira,manha,false,false,true,9,2,0,0,3,3,3,0,0,6,12,13.886722,0.823159,38,22,0.041485,0,3,1389,0.74658,0.388646,13046,1547.064234,116.280852,174.306301,3184,14,2214,38,travis,segiddins,98,0.918367,343,170,1318,true,true,false,false,32,318,40,121,246,5,664,1
quinta-Feira,madrugada,false,false,true,5,2,0,0,1,1,1,0,0,36,0,8.93906,0.529878,0,0,0,0,4,1388,0.746398,0.386161,13046,1547.064234,116.280852,174.306301,3184,14,2213,38,travis,RochesterinNYC,38,0.921053,8,7,1444,true,true,false,false,12,111,41,35,11,0,66,1
quarta-feira,manha,false,false,false,12,2,0,0,3,3,3,0,0,15,32,21.379089,1.267333,18,12,0.011186,0,2,1387,0.746215,0.389262,13042,1546.465266,116.239841,174.20641,3184,14,2213,36,travis,RochesterinNYC,37,0.918919,8,7,1444,true,true,false,false,11,109,40,34,8,0,8,1
terca-feira,tarde,false,false,false,57,8,0,0,3,3,3,0,0,21,42,4.638392,0.27496,3,3,0.006711,0,5,1386,0.746032,0.389262,13042,1546.465266,116.239841,174.20641,3182,14,2212,37,travis,mobilutz,0,0,0,1,1912,false,false,false,false,0,0,0,0,0,0,725,1
domingo,noite,false,false,false,64,2,0,0,2,2,2,0,0,114,274,19.781363,1.172421,31,30,0.065217,0,6,1393,0.747308,0.393478,13053,1547.920018,116.218494,174.366046,3187,14,2217,36,travis,njam,1,1,12,5,2020,false,false,false,false,1,6,1,0,0,0,-6777,1
terca-feira,manha,false,false,true,8,1,0,0,2,2,2,0,0,2,9,8.982706,0.532478,45,40,0.089686,0,2,1385,0.745848,0.387892,13042,1545.928539,116.163165,174.129735,3182,14,2212,35,travis,segiddins,97,0.917526,343,170,1316,true,true,false,false,32,308,39,124,239,4,6,1
segunda-feira,manha,false,false,false,62,2,0,0,2,2,2,0,0,22,44,17.753801,1.052428,8,8,0.018018,0,2,1384,0.745665,0.387387,13031,1545.852199,116.184483,173.893024,3181,14,2211,36,travis,RochesterinNYC,36,0.916667,8,7,1442,true,true,false,false,10,105,39,34,8,0,504,1
sabado,noite,false,false,false,15,2,2,2,8,12,12,0,0,112,398,18.712406,1.109207,34,30,0.011338,3,2,1382,0.74602,0.385488,13014,1546.949439,115.875211,173.966498,3180,14,2209,36,travis,njam,0,0,12,5,2012,false,false,false,false,1,2,0,0,0,0,8,1
