projeto;created_at_week_day;created_at_day_turn;conflict;forward_links;intra_branch;description_length;num_commits;files_added;files_deleted;files_modified;files_changed;src_files;doc_files;other_files;src_churn;test_churn;new_entropy;entropy_diff;commits_on_files_touched;commits_to_hottest_file;hotness;at_mentions_description;at_mentions_comments;prev_pull_reqs_project;project_succ_rate;perc_external_contribs;sloc;test_lines_per_kloc;test_cases_per_kloc;asserts_per_kloc;stars;team_size;project_age;workload;ci;requester;prev_pullreqs;requester_succ_rate;followers;following;requester_age;main_team_member;watcher_project;req_follows_integrator;integrator_follows_req;prior_interaction_issue_events;prior_interaction_issue_comments;prior_interaction_pr_events;prior_interaction_pr_comments;prior_interaction_commits;prior_interaction_commit_comments;first_response
Appium;0,52;0,6;0;0,36;0,47;0,59;0,59;0,54;0,48;0,56;0,53;0,55;0,65;0,53;0,55;0,53;0,52;0,52;0,48;0,48;0,47;0,43;0,53;0,43;0,45;0,42;0,4;0,37;0,37;0,36;0,34;0,34;0,33;0,34;0,26;0,41;0,37;0,36;0,23;0,29;0,31;0,2;0,23;0,5;0,43;0,26;0,33;0,33;0,26;0,27;0,24;0,34
Bundler;0,57;0,61;0;0,47;0,59;0,62;0,63;0,63;0,62;0,61;0,61;0,62;0,26;0,61;0,6;0,56;0,56;0,55;0,5;0,53;0,49;0,44;0,5;0,48;0,5;0,44;0,43;0,42;0,42;0,39;0,35;0,41;0,36;0,41;0,38;0,63;0,43;0,42;0,28;0,27;0,32;0,3;0,3;0,18;0;0,3;0,33;0,39;0,22;0,25;0,2;0,36
candlepin;0,44;0,54;0;0,32;0,42;0,52;0,55;0,51;0,48;0,47;0,49;0,46;0,44;0,45;0,49;0,47;0,46;0,44;0,44;0,44;0,41;0,33;0,44;0,37;0,41;0,39;0,39;0,33;0,38;0,36;0,29;0,33;0,31;0,33;0;0,25;0,33;0,35;0,26;0,23;0,25;0,2;0,28;0,41;0,33;0;0,27;0,33;0,27;0,26;0,2;0,31
diaspora;0,58;0,63;0;0,47;0,55;0,64;0,64;0,61;0,63;0,61;0,61;0,61;0,6;0,58;0,61;0,56;0,57;0,58;0,55;0,56;0,53;0,56;0,52;0,5;0,53;0,48;0,45;0,45;0,44;0,44;0,43;0,39;0,39;0,42;0,33;0,53;0,42;0,41;0,27;0,3;0,35;0,32;0,31;0,26;0,17;0,36;0,35;0,4;0,23;0,3;0,25;0,39
hezelcast;0,63;0,66;0;0,65;0,53;0,67;0,7;0,69;0,69;0,65;0,66;0,65;0,91;0,69;0,64;0,64;0,65;0,63;0,54;0,58;0,58;0,55;0,4;0,58;0,6;0,55;0,5;0,52;0,49;0,49;0,44;0,44;0,42;0,49;0;0,4;0,48;0,47;0,35;0,4;0,5;0,17;0,41;0,53;0,2;0,34;0,33;0,46;0,3;0,33;0,29;0,45
kuma;0,46;0,52;0;0,3;0,52;0,53;0,52;0,47;0,44;0,52;0,51;0,49;0,49;0,45;0,46;0,44;0,47;0,46;0,44;0,44;0,43;0,28;0,4;0,41;0,41;0,39;0,37;0,37;0,35;0,33;0,33;0,33;0,33;0,35;0,25;0,33;0,33;0,33;0,26;0,26;0,29;0,17;0,24;0,21;0,21;0,24;0,28;0,31;0,26;0,26;0,21;0,31
marathon;0,5;0,55;0;0,35;0,48;0,57;0,56;0,49;0,49;0,53;0,5;0,49;0,45;0,54;0,48;0,49;0,49;0,48;0,48;0,49;0,49;0,37;0,46;0,44;0,46;0,43;0,4;0,39;0;0,37;0,36;0,32;0,35;0,33;0,36;0,4;0,4;0,38;0,26;0,23;0,29;0,32;0,29;0,15;0,27;0,28;0,28;0,36;0,25;0,28;0,23;0,32
metasploit;0,52;0,58;0;0,41;0,52;0,58;0,61;0,57;0,48;0,55;0,58;0,56;0,47;0,49;0,53;0,41;0,54;0,54;0,48;0,47;0,45;0,4;0,51;0,47;0,49;0,45;0,42;0,41;0,42;0,39;0,37;0,38;0,37;0,4;0,42;0,47;0,38;0,36;0,29;0,26;0,31;0,24;0,25;0,27;0,19;0,33;0,31;0,35;0,25;0,25;0,24;0,35
meteor;0,6;0,64;0;0,64;0,5;0,64;0,65;0,62;0,63;0,62;0,63;0,61;0,61;0,51;0,6;0,51;0,57;0,58;0,58;0,57;0,55;0,57;0,57;0,48;0,54;0,51;0,49;0,48;0,45;0,48;0,42;0,44;0,42;0,42;0,39;0,61;0,43;0,43;0,32;0,32;0,33;0,34;0,32;0,37;0,31;0,35;0,37;0,43;0,32;0,28;0,33;0,35
nancy;0,57;0,59;0;0,4;0,5;0,62;0,63;0,54;0,48;0,52;0,53;0,53;0,49;0,49;0,55;0;0,51;0,51;0,47;0,48;0,5;0,42;0,47;0,46;0,49;0,41;0,43;0;0;0;0,42;0,42;0,4;0,38;0,33;0,52;0,4;0,43;0,31;0,29;0,37;0,33;0,29;0,25;0,11;0,3;0,33;0,36;0,25;0,26;0,29;0,33
netty;0,52;0,57;0;0,47;0,45;0,56;0,59;0,57;0,53;0,55;0,56;0,57;0,47;0,51;0,53;0,5;0,52;0,51;0,51;0,5;0,49;0,47;0,49;0,44;0,45;0,43;0,41;0,4;0,4;0,39;0,36;0,37;0,35;0,38;0,32;0,47;0,38;0,36;0,29;0,25;0,31;0,34;0,31;0,3;0,32;0,31;0,33;0,35;0,28;0,31;0,27;0,36
node;0,54;0,59;0;0,53;0,52;0,6;0,56;0,57;0,55;0,58;0,56;0,57;0,51;0,51;0,56;0,54;0,54;0,54;0,53;0,53;0,52;0,45;0,5;0,47;0,49;0,46;0,44;0,43;0,42;0,41;0,4;0,39;0,38;0,4;0,34;0,47;0,38;0,37;0,3;0,25;0,34;0,23;0,3;0,28;0,31;0,32;0,33;0,35;0,3;0,32;0,27;0,38
okhttp;0,42;0,52;0;0,26;0,4;0,53;0,52;0,44;0,38;0,51;0,49;0,51;0,32;0,43;0,49;0,45;0,46;0,45;0,42;0,43;0,43;0,54;0,45;0,38;0,41;0,36;0,35;0,34;0,34;0,33;0,31;0,32;0,32;0,3;0,15;0,58;0,31;0,31;0,24;0,25;0,29;0,21;0,2;0,22;0,15;0,2;0,24;0,3;0,21;0,21;0,2;0,3
pouchdb;0,45;0,53;0;0,34;0,53;0,52;0,5;0,51;0,4;0,52;0,51;0,49;0,44;0,43;0,49;0,46;0,48;0,47;0,46;0,45;0,44;0,39;0,4;0,41;0,43;0,4;0,38;0,37;0,36;0,36;0,35;0,37;0,33;0,36;0;0,33;0,35;0,36;0,3;0,28;0,29;0,35;0,27;0,24;0,28;0,3;0,31;0,33;0,27;0,28;0,26;0,33
pulp;0,42;0,49;0;0,62;0,44;0,5;0,54;0,43;0,43;0,53;0,49;0,5;0,15;0,42;0,47;0,45;0,46;0,46;0,4;0,42;0,42;0,34;0,37;0,4;0,4;0,37;0,35;0,33;0,31;0,31;0,31;0,26;0,31;0,3;0,28;0,23;0,32;0,34;0,23;0,19;0,27;0,11;0,24;0,2;0;0,12;0,26;0,29;0,22;0,25;0,33;0,26
rosdistro;0,41;0,46;0;0,32;0,45;0,48;0,48;0,49;0,4;0,45;0,43;0,41;0;0,46;0,24;0,64;0,5;0,49;0,43;0,42;0,43;0,4;0,36;0,46;0,48;0,39;0,32;0,31;0,3;0,28;0,3;0,31;0,31;0,38;0,28;0,36;0,42;0,42;0,23;0,23;0,28;0,29;0,18;0,3;0,36;0,28;0,29;0,39;0,19;0,25;0,14;0,35
scalaIde;0,47;0,53;0;0,35;0,53;0,5;0,55;0,48;0,5;0,48;0,47;0,46;0,26;0,48;0,44;0,45;0,46;0,46;0,45;0,43;0,42;0,32;0,42;0,41;0,39;0,37;0,38;0,35;0;0,35;0,36;0,32;0,33;0,37;0;0,28;0,33;0,35;0,27;0,25;0,29;0,19;0,25;0,33;0,22;0,31;0,28;0,29;0,28;0,28;0,28;0,3
scalaJS;0,42;0,51;0;0,35;0;0,53;0,56;0,5;0,47;0,52;0,48;0,46;0,39;0,49;0,47;0,46;0,49;0,46;0,42;0,36;0,4;0,65;0,35;0,36;0,4;0,36;0,35;0,33;0,07;0,3;0,29;0,36;0,29;0,33;0,38;0,39;0,29;0,28;0,22;0,25;0,27;0,17;0,27;0,42;0;0,2;0,21;0,26;0,19;0,18;0,18;0,27
scikit;0,58;0,61;0;0,46;0,48;0,61;0,62;0,55;0,58;0,61;0,59;0,59;0,52;0,55;0,54;0,57;0,57;0,55;0,53;0,52;0,52;0,48;0,51;0,49;0,5;0,46;0,45;0,44;0,42;0,42;0,42;0,4;0,39;0,38;0,4;0,52;0,41;0,37;0,3;0,29;0,32;0,28;0,3;0,23;0,36;0,33;0,33;0,37;0,3;0,3;0,26;0,36
vagrant;0,57;0,59;0;0,38;0,43;0,64;0,66;0,62;0,59;0,62;0,63;0,62;0,53;0,6;0,58;0,47;0,56;0,56;0,53;0,54;0,49;0,38;0,45;0,5;0,5;0,46;0,42;0,41;0,43;0,41;0,38;0,36;0,34;0,4;0,2;0,68;0,45;0,41;0,28;0,28;0,31;0,19;0,26;0,26;0;0,33;0,32;0,46;0,13;0,25;0,1;0,35
