90,7018%;90,2924%;89,6491%;76,5734%;90,0585%
76,5734%;76,3112%;74,9126%;91,0526%;75,1748%
91,0526%;84,0%;91,0526%;91,0526%;85,5789%
77,1441%;76,702%;77,321%;76,481%;76,6136%
92,298%;92,298%;92,3611%;92,298%;91,2879%
89,4156%;89,4805%;89,2208%;89,4156%;89,3182%
87,4049%;87,4049%;87,4894%;87,4049%;84,869%
85,8599%;85,8382%;86,0985%;85,7732%;85,7732%
60,8156%;64,7163%;62,234%;56,117%;62,9433%
84,4086%;84,2294%;83,6022%;84,4086%;83,9606%
69,2614%;67,8409%;71,7614%;65,1705%;68,0682%
70,8198%;69,9675%;73,9854%;71,2256%;72,362%
87,8143%;88,588%;88,588%;88,4913%;89,7485%
75,2874%;75,3592%;76,2931%;75,7902%;76,796%
94,1571%;94,1571%;93,9655%;94,1571%;93,5345%
94,3212%;93,9456%;94,0822%;94,3212%;94,2074%
86,5934%;86,044%;86,7033%;85,4945%;85,3846%
94,5055%;94,5055%;94,2857%;94,2857%;94,7253%
81,0345%;80,9986%;80,7471%;80,2443%;80,819%
75,4261%;77,1307%;75,8523%;76,3494%;75,7102%


